keyword,location,text,target,null_location
annihilated,Higher Places,The episode where Trunks annihilated Freiza is the cleanest shit ever. He showed that nigga no mercy.,0,0
annihilated,"Horsemind, MI",THEY SHALL BE ANNIHILATED AND ALL OF THEIR PETEBESTS DESSICATED AND LAID BARE. THEN YOU SHALL KNEEL BEFORE ME.,0,0
annihilated,"New York, NY",Uribe just annihilated that baseball. #Mets,0,0
annihilated,Boksburg,@marksmaponyane Hey!Sundowns were annihilated in their previous meeting with Celtic.Indeed its an improvement.,0,0
annihilated,,@Volfan326 @TNeazzy Mizzou has annihilated florida the past 2 seasons even ended muschamp's career just can't compete with Bama,0,1
annihilated,,Annihilated Abs . ?? http://t.co/1xPw292tJe,1,1
annihilated,,Be annihilated for status education mba on behalf of a on easy street careen: eOvm http://t.co/e0pI0c54FF,0,1
annihilated,"V-RP @OZRP_ ?MV, AU, R18+?",*to Luka* They should all die! All of them! Everything annihilated! - Alois Trancy,0,0
annihilated,"Greater Manchester, UK",@ACarewornHeart Have a good un fella sorry I won't be there to get annihilated with you :(,0,0
annihilated,Boston,Cop pulls drunk driver to safety SECONDS before his car is hit by train. http://t.co/tHrhKHOGcUåÊ http://t.co/tZSZmF2qxE via @ViralSpell,1,0
annihilated,,You must be annihilated!,0,1
annihilated,,Cop pulls drunk driver to safety SECONDS before his car is hit by train. http://t.co/C0nKGp6w03åÊ http://t.co/IMWmfDJSSn via @ViralSpell,1,1
annihilated,The Canopy Kingdom,BOOM! Your country was just entirely annihilated by a hÛ_ ÛÓ Britain https://t.co/IrFCn71sZv,0,0
annihilated,,@AmirKingKhan you would have been annihilated so you might as well thank @FloydMayweather,0,1
annihilated,USA,One thing for sure-God has promised Israel will not be annihilated. But...the horror of Iran w/nukes. https://t.co/xn09Mx6sxy,0,0
annihilated,,@violentfeminazi I guess that's ok for Armenians since we've spent most of our history getting annihilated,1,1
annihilated,,70 years since we annihilated 100000 people instantly and became aware that we have the ability to annihilate the whole of humanity,1,1
annihilated,the own zone layer ,day 1 of tryouts went good minus the fact I stopped quickly to get a short ball and Annihilated my toenail injury even more,0,0
annihilated,London,"During the 1960s the oryx a symbol of the Arabian Peninsula were annihilated by hunters. 
http://t.co/yangEQBUQW http://t.co/jQ2eH5KGLt",1,0
annihilated,Trancy Manor,(To Luka) 'They should all die! All of them! Everything annihilated!' - Alois Trancy -,0,0
annihilated,,Ready to get annihilated for the BUCS game,1,1
annihilated,South 37,@PhilipDuncan @breakfastone People 'annihilated by last nights weather'... Really Philip thought you would have forecast that...,1,0
annihilated,,Domain other sophistication be annihilated closely up-to-the-minute feat: ZrNf,0,1
annihilated,"West Lancashire, UK.",@stormbeard @steel_lord I seen Judas Priest in 2005 when Rob came back; Scorpions as support. Fucking annihilated the place. Astonishing gig,0,0
annihilated,PA,Officially skipping out on #FantasticFour/#Fant4stic/whatever the hashtag is. It's getting ANNIHILATED in reviews. Bummer.,0,0
annihilated,,@TomcatArts thus explaining why you were all annihilated. But the few or in this case you the only survivor evolved and became godlike,1,1
annihilated,Û¢ Views From The Six Û¢,just completely annihilated cech with paul keegan what a time to be alive,0,0
annihilated,,@TomcatArts 'who then were annihilated by the legion itself. The survivors of the imperfect hybrid project quickly formed a new secret cell,0,1
annihilated,University of Toronto,@SirBrandonKnt exactly. That's why the lesnar/cena match from summerslam last year was so great because Brock annihilated a guy who's,0,0
annihilated,,Cop pulls drunk driver to safety SECONDS before his car is hit by train. http://t.co/F1BAkpNyn6åÊ http://t.co/lZXwoAyE4x via @ViralSpell,1,1
annihilated,Swaning Around,"ANNIHILATED IN DAMASCUS: SYRIAN ARMY GRINDS Û÷ALLOOSH AND HIS GANG INTO THE MANURE PILE
http://t.co/7rakhP3bWm",1,0
annihilated,,@thatdes ok i wasn't completely forthright i may have also been in a food coma bc of the kebab/tahini/pickles i also annihilated w/fries,0,1
annihilated,London,A fun filled happy-hour at Simmons bar in Camden with this handsome one ?? (I got annihilated apart from this game) http://t.co/4JNo677Zkv,0,0
annihilated,Albany/NY,Juanny Beisbol Sr. Annihilated that ball. #LGM,0,0
